id,name,name,Finish,added_by,user_id,category_id,brand_id,photos,thumbnail_img,color_img,video_provider,video_link,tags,description,unit_price,purchase_price,variant_product,attributes,choice_options,colors,variations,todays_deal,published,approved,stock_visibility_state,cash_on_delivery,featured,seller_featured,current_stock,unit,weight,min_qty,low_stock_quantity,discount,discount_type,discount_start_date,discount_end_date,tax,tax_type,shipping_type,shipping_cost,is_quantity_multiplied,est_shipping_days,num_of_sale,meta_title,meta_description,meta_img,pdf,slug,rating,barcode,digital,auction_product,file_name,file_path,external_link,external_link_btn,wholesale_product,created_at,updated_at
1,Plastic Hand Shower,Allied Products,1,admin,9,4,NULL,9,9,NULL,NULL,NULL,allied,"<p style=""margin-right: 0px; margin-bottom: 20px; margin-left: 0px; padding: 0px; border: 0px; vertical-align: baseline; font-variant-numeric: inherit; font-variant-east-asian: inherit; font-variant-alternates: inherit; font-stretch: inherit; line-height: inherit; font-family: Cabin, Arial, Helvetica, sans-serif; font-optical-sizing: inherit; font-kerning: inherit; font-feature-settings: inherit; font-variation-settings: inherit; font-size: 15px; color: rgb(35, 31, 32);"">PRODUCT NUMBER: AL-28B</p><p style=""margin-right: 0px; margin-bottom: 20px; margin-left: 0px; padding: 0px; border: 0px; vertical-align: baseline; font-variant-numeric: inherit; font-variant-east-asian: inherit; font-variant-alternates: inherit; font-stretch: inherit; line-height: inherit; font-family: Cabin, Arial, Helvetica, sans-serif; font-optical-sizing: inherit; font-kerning: inherit; font-feature-settings: inherit; font-variation-settings: inherit; font-size: 15px; color: rgb(35, 31, 32);"">Plastic Hand Shower (Health<br>Faucet) with Brass Tube</p>",990,NULL,0,[],[],[],NULL,0,1,1,quantity,0,1,0,100,Pc,0,1,NULL,0,amount,NULL,NULL,NULL,NULL,flat_rate,0,0,NULL,0,Plastic Hand Shower,PRODUCT NUMBER: AL-28BPlastic Hand Shower (HealthFaucet) with Brass Tube,9,NULL,plastic-hand-shower,0,NULL,0,0,NULL,NULL,NULL,Buy Now,0,18-04-23 14:59,18-04-23 15:08
4,Aerator Control Wall,Allied Products,1,admin,9,4,NULL,10,10,NULL,NULL,NULL,"allied,bathroom,accesories","<p style=""margin-right: 0px; margin-bottom: 20px; margin-left: 0px; padding: 0px; border: 0px; vertical-align: baseline; font-variant-numeric: inherit; font-variant-east-asian: inherit; font-variant-alternates: inherit; font-stretch: inherit; line-height: inherit; font-family: Cabin, Arial, Helvetica, sans-serif; font-optical-sizing: inherit; font-kerning: inherit; font-feature-settings: inherit; font-variation-settings: inherit; font-size: 15px; color: rgb(35, 31, 32);"">PRODUCT NUMBER: AL-27</p><p style=""margin-right: 0px; margin-bottom: 20px; margin-left: 0px; padding: 0px; border: 0px; vertical-align: baseline; font-variant-numeric: inherit; font-variant-east-asian: inherit; font-variant-alternates: inherit; font-stretch: inherit; line-height: inherit; font-family: Cabin, Arial, Helvetica, sans-serif; font-optical-sizing: inherit; font-kerning: inherit; font-feature-settings: inherit; font-variation-settings: inherit; font-size: 15px; color: rgb(35, 31, 32);"">Aerator Control Wall<br>Mounted Basin Faucet</p>",2630,NULL,0,[],[],[],NULL,0,1,1,quantity,0,0,0,100,Pc,0,1,NULL,0,amount,NULL,NULL,NULL,NULL,flat_rate,0,0,NULL,0,Aerator Control Wall,PRODUCT NUMBER: AL-27Aerator Control WallMounted Basin Faucet,10,NULL,aerator-control-wall,0,NULL,0,0,NULL,NULL,NULL,Buy Now,0,19-04-23 5:58,19-04-23 5:58
5,Aerator Control Floor,Allied Products,1,admin,9,4,NULL,11,11,NULL,NULL,NULL,"accesories,bathrooom,allied","PRODUCT NUMBER: AL-26

Aerator Control Floor
Mounted Basin Faucet",3630,NULL,0,[],[],[],NULL,0,1,1,quantity,0,0,0,100,Pc,0,1,NULL,0,amount,NULL,NULL,NULL,NULL,flat_rate,0,0,NULL,0,Aerator Control Floor,"PRODUCT NUMBER: AL-26

Aerator Control Floor
Mounted Basin Faucet",11,NULL,aerator-control-floor,0,NULL,0,0,NULL,NULL,NULL,Buy Now,0,19-04-23 5:59,19-04-23 5:59
6,Flush Valve Dual,Allied Products,3,admin,9,4,NULL,13,13,NULL,NULL,NULL,"bathroom,allied,accesories","<p style=""margin-right: 0px; margin-bottom: 20px; margin-left: 0px; padding: 0px; border: 0px; vertical-align: baseline; font-variant-numeric: inherit; font-variant-east-asian: inherit; font-variant-alternates: inherit; font-stretch: inherit; line-height: inherit; font-family: Cabin, Arial, Helvetica, sans-serif; font-optical-sizing: inherit; font-kerning: inherit; font-feature-settings: inherit; font-variation-settings: inherit; font-size: 15px; color: rgb(35, 31, 32);"">PRODUCT NUMBER: AL-25</p><p style=""margin-right: 0px; margin-bottom: 20px; margin-left: 0px; padding: 0px; border: 0px; vertical-align: baseline; font-variant-numeric: inherit; font-variant-east-asian: inherit; font-variant-alternates: inherit; font-stretch: inherit; line-height: inherit; font-family: Cabin, Arial, Helvetica, sans-serif; font-optical-sizing: inherit; font-kerning: inherit; font-feature-settings: inherit; font-variation-settings: inherit; font-size: 15px; color: rgb(35, 31, 32);"">Flush Valve Dual</p>",4080,NULL,0,[],[],[],NULL,0,1,1,quantity,0,0,0,100,Pc,0,1,NULL,0,amount,NULL,NULL,NULL,NULL,flat_rate,0,0,NULL,0,Flush Valve Dual,PRODUCT NUMBER: AL-25Flush Valve Dual,12,NULL,flush-valve-dual,0,NULL,0,0,NULL,NULL,NULL,Buy Now,0,19-04-23 6:01,19-04-23 6:03
7,Pillar Cock With Surgical,Bathroom Faucets,1,admin,9,5,NULL,15,15,NULL,NULL,NULL,"medi collection,bathroom,accesories","<p style=""margin-right: 0px; margin-bottom: 20px; margin-left: 0px; padding: 0px; border: 0px; vertical-align: baseline; font-variant-numeric: inherit; font-variant-east-asian: inherit; font-variant-alternates: inherit; font-stretch: inherit; line-height: inherit; font-family: Cabin, Arial, Helvetica, sans-serif; font-optical-sizing: inherit; font-kerning: inherit; font-feature-settings: inherit; font-variation-settings: inherit; font-size: 15px; color: rgb(35, 31, 32);"">PRODUCT NUMBER: MD-04</p><p style=""margin-right: 0px; margin-bottom: 20px; margin-left: 0px; padding: 0px; border: 0px; vertical-align: baseline; font-variant-numeric: inherit; font-variant-east-asian: inherit; font-variant-alternates: inherit; font-stretch: inherit; line-height: inherit; font-family: Cabin, Arial, Helvetica, sans-serif; font-optical-sizing: inherit; font-kerning: inherit; font-feature-settings: inherit; font-variation-settings: inherit; font-size: 15px; color: rgb(35, 31, 32);"">Pillar Cock With Surgical<br>Purpose Elbow Action</p>",1030,NULL,0,[],[],[],NULL,0,1,1,quantity,0,0,0,100,Pc,0,1,NULL,0,amount,NULL,NULL,NULL,NULL,flat_rate,0,0,NULL,0,Pillar Cock With Surgical,PRODUCT NUMBER: MD-04Pillar Cock With SurgicalPurpose Elbow Action,15,NULL,pillar-cock-with-surgical,0,NULL,0,0,NULL,NULL,NULL,Buy Now,0,19-04-23 6:06,19-04-23 6:06
8,Piper Single Lever Basin Mixer,Bathroom Faucets,1,admin,9,5,NULL,14,14,NULL,NULL,NULL,"bathroom,medi collection,accesories","<p style=""margin-right: 0px; margin-bottom: 20px; margin-left: 0px; padding: 0px; border: 0px; vertical-align: baseline; font-variant-numeric: inherit; font-variant-east-asian: inherit; font-variant-alternates: inherit; font-stretch: inherit; line-height: inherit; font-family: Cabin, Arial, Helvetica, sans-serif; font-optical-sizing: inherit; font-kerning: inherit; font-feature-settings: inherit; font-variation-settings: inherit; font-size: 15px; color: rgb(35, 31, 32);"">PRODUCT NUMBER: MD-03</p><p style=""margin-right: 0px; margin-bottom: 20px; margin-left: 0px; padding: 0px; border: 0px; vertical-align: baseline; font-variant-numeric: inherit; font-variant-east-asian: inherit; font-variant-alternates: inherit; font-stretch: inherit; line-height: inherit; font-family: Cabin, Arial, Helvetica, sans-serif; font-optical-sizing: inherit; font-kerning: inherit; font-feature-settings: inherit; font-variation-settings: inherit; font-size: 15px; color: rgb(35, 31, 32);"">Piper Single Lever Basin Mixer<br>with 200mm Extended Lever</p>",5375,NULL,0,[],[],[],NULL,0,1,1,quantity,0,0,0,100,Pc,0,1,NULL,0,amount,NULL,NULL,NULL,NULL,flat_rate,0,0,NULL,0,Piper Single Lever Basin Mixer,PRODUCT NUMBER: MD-03Piper Single Lever Basin Mixerwith 200mm Extended Lever,14,NULL,piper-single-lever-basin-mixer,0,NULL,0,0,NULL,NULL,NULL,Buy Now,0,19-04-23 6:08,19-04-23 6:08
9,Piper Bib Cock With 200 mm,Bathroom Faucets,1,admin,9,5,NULL,16,16,NULL,NULL,NULL,"bathroom,medi collection,accesories","<p style=""margin-right: 0px; margin-bottom: 20px; margin-left: 0px; padding: 0px; border: 0px; vertical-align: baseline; font-variant-numeric: inherit; font-variant-east-asian: inherit; font-variant-alternates: inherit; font-stretch: inherit; line-height: inherit; font-family: Cabin, Arial, Helvetica, sans-serif; font-optical-sizing: inherit; font-kerning: inherit; font-feature-settings: inherit; font-variation-settings: inherit; font-size: 15px; color: rgb(35, 31, 32);"">PRODUCT NUMBER: MD-02</p><p style=""margin-right: 0px; margin-bottom: 20px; margin-left: 0px; padding: 0px; border: 0px; vertical-align: baseline; font-variant-numeric: inherit; font-variant-east-asian: inherit; font-variant-alternates: inherit; font-stretch: inherit; line-height: inherit; font-family: Cabin, Arial, Helvetica, sans-serif; font-optical-sizing: inherit; font-kerning: inherit; font-feature-settings: inherit; font-variation-settings: inherit; font-size: 15px; color: rgb(35, 31, 32);"">Piper Bib Cock With 200 mm<br>Extended Lever Handle</p>",1795,NULL,0,[],[],[],NULL,0,1,1,quantity,0,0,0,100,Pc,0,1,NULL,0,amount,NULL,NULL,NULL,NULL,flat_rate,0,0,NULL,0,Piper Bib Cock With 200 mm,PRODUCT NUMBER: MD-02Piper Bib Cock With 200 mmExtended Lever Handle,16,NULL,piper-bib-cock-with-200-mm,0,NULL,0,0,NULL,NULL,NULL,Buy Now,0,19-04-23 6:10,19-04-23 6:10
10,ELEGANCE,3 HOLE BASIN MIXER CONCEPTS,3,admin,9,8,0,19,18,NULL,youtube,NULL,NULL,ELEGANCE,100,NULL,0,[],[],[],[],0,1,1,quantity,0,0,0,0,pc,0,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,flat_rate,0,0,NULL,0,NULL,NULL,NULL,NULL,elegance-Rhf8T,0,NULL,0,0,NULL,NULL,NULL,Buy Now,0,27-04-23 13:03,27-04-23 13:03
12,STONEX,3 HOLE BASIN MIXER CONCEPTS,3,admin,9,8,NULL,23,22,75,NULL,NULL,,STONEX,10,NULL,0,[],[],[],[],0,1,1,quantity,0,0,0,100,Pc,0,1,NULL,0,amount,NULL,NULL,NULL,NULL,flat_rate,0,0,NULL,0,STONEX,STONEX,22,NULL,stonex-chkiq,0,NULL,0,0,NULL,NULL,NULL,Buy Now,0,27-04-23 13:53,29-05-23 6:30
13,VINTAGE,3 HOLE BASIN MIXER CONCEPTS,3,admin,9,8,NULL,25,24,75,NULL,NULL,,VINTAGE,10,NULL,0,[],[],[],[],0,1,1,quantity,0,0,0,100,Pc,0,1,NULL,0,amount,NULL,NULL,NULL,NULL,flat_rate,0,0,NULL,0,VINTAGE,VINTAGE,24,NULL,vintage-ojwdd,0,NULL,0,0,NULL,NULL,NULL,Buy Now,0,27-04-23 13:53,29-05-23 6:31
